Date,Aircraft,Registration,Category,Route,Duty Position,Mission,Sorties,Combat,Combat Sorties,Day,Day System,Night System,Night Goggles,Dual Received (Student),SIC,PIC,Instructor,Taxi,Total w/o Other,Civ Other,Total w/ Other,Solo,Night,Act Inst,Sim Inst,X-Country,XC Instruction Received,XC Solo,XC PIC,XC SIC,Day T/O,Day Ldg,Night T/O,Night Ldg,Instrument Approaches,Remarks
10/04/2017,TH-67A,0067908,Rotorcraft,"",PI,T,1,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0,1,0,0,0,
10/05/2017,TH-67A,0067908,Rotorcraft,"",PI,T,1,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0,1,0,0,0,
10/06/2017,TH-67A,0067848,Rotorcraft,"",PI,T,1,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0,1,0,0,0,
10/10/2017,TH-67A,0067848,Rotorcraft,"",PI,T,1,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0,1,0,0,0,
10/11/2017,TH-67A,0067848,Rotorcraft,"",PI,T,1,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0,1,0,0,0,
10/12/2017,TH-67A,0067761,Rotorcraft,"",PI,T,1,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0,1,0,0,0,
10/13/2017,TH-67A,0067572,Rotorcraft,"",PI,T,1,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0,1,0,0,0,
10/16/2017,TH-67A,0067814,Rotorcraft,"",PI,T,1,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0,1,0,0,0,
10/17/2017,TH-67A,0067814,Rotorcraft,"",PI,T,1,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0,1,0,0,0,
10/18/2017,TH-67A,0067814,Rotorcraft,"",PI,T,1,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.2,0,1,0,0,0,
