Date,Aircraft,Category,Total Time,PIC,SIC,Instructor,Dual Received,Night,Act Inst,Sim Inst,X-Country
2017-10-04,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2017-10-05,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2017-10-06,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2017-10-10,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2017-10-11,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2017-10-12,TH-67A,Rotorcraft,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5
2017-10-13,TH-67A,Rotorcraft,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5
2017-10-16,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2017-10-17,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2017-10-18,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2017-10-19,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2017-10-20,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2017-10-23,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2017-10-24,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2017-10-25,TH-67A,Rotorcraft,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.5
2017-10-26,TH-67A,Rotorcraft,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.2
2017-10-28,TH-67A,Rotorcraft,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3
2017-10-30,TH-67A,Rotorcraft,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,1.4
